tempo_ate_falha,censura,ativo
120,0,escavadeira_01
150,0,escavadeira_01
200,0,escavadeira_02
250,0,escavadeira_02
300,0,escavadeira_03
350,0,escavadeira_03
400,0,escavadeira_01
450,0,escavadeira_02
500,0,escavadeira_03
550,0,escavadeira_01
600,0,escavadeira_02
650,0,escavadeira_03
700,0,escavadeira_01
750,0,escavadeira_02
800,0,escavadeira_03
850,0,escavadeira_01
900,0,escavadeira_02
950,0,escavadeira_03
1000,0,escavadeira_01
1050,0,escavadeira_02
1100,0,escavadeira_03
1150,0,escavadeira_01
1200,0,escavadeira_02
1250,0,escavadeira_03
1300,0,escavadeira_01
1350,0,escavadeira_02
1400,0,escavadeira_03
1450,0,escavadeira_01
1500,0,escavadeira_02
1550,0,escavadeira_03
1600,0,escavadeira_01
1650,0,escavadeira_02
1700,0,escavadeira_03
1750,0,escavadeira_01
1800,0,escavadeira_02
1850,0,escavadeira_03
1900,0,escavadeira_01
1950,0,escavadeira_02
2000,0,escavadeira_03
2050,0,escavadeira_01
2100,0,escavadeira_02
2150,0,escavadeira_03
2200,0,escavadeira_01
2250,0,escavadeira_02
2300,0,escavadeira_03
2350,0,escavadeira_01
2400,0,escavadeira_02
2450,0,escavadeira_03
2500,0,escavadeira_01
2550,0,escavadeira_02
2600,0,escavadeira_03
